latitude,longitude,altitude,geometry,name,name:en,railway,ele,operator:type,layer,addr:full,addr:city,source,name:ar,osm_id,osm_type
30.0357796,31.2003443,,Point,البحوث,Behooth,station,,,-1,,,,البحوث,316632871,nodes
30.0382224,31.2120446,,Point,الدقى,Dokki,station,,,,,,,الدقى,316632940,nodes
30.073329,31.3011479,,Point,أرض المعارض,Cairo fair,station,,,,,,,أرض المعارض,5194348141,nodes
30.0058496,31.2295229,,Point,مار جرجس,Mar Girgis,station,,,,,,,مار جرجس,5218109287,nodes
30.1797847,31.2254317,,Point,قليوب,Qalyub,station,,,,,,,قليوب,324557234,nodes
30.4425816,31.0693522,,Point,سبك الضحاك,Subk Al-Dahak,station,,,,,,,سبك الضحاك,1039990521,nodes
30.2497151,31.3552816,,Point,ابو زعبل البلد,Abu Zaabal Al-Balad,station,,,,,,,ابو زعبل البلد,325776390,nodes
30.6,31.333333,,Point,محطة بغدادلي باشا,Mahattat Baghdadli Basha,station,,,,,,,محطة بغدادلي باشا,768565346,nodes
30.8190079,30.8153498,,Point,كفر الزيات,Kafr Al-Zaiyat,station,,,,,,,كفر الزيات,1039313595,nodes
30.1647603,31.3395991,,Point,المرج,Al-Marg,station,,,,,,,المرج,325778920,nodes
30.7274994,31.7945156,,Point,فاقوس,Faqous,station,,,,,,,فاقوس,1039567147,nodes
30.816667,31.466667,,Point,الشيخ القاسمي,Al Shaykh al Qasimi,station,,,,,,,الشيخ القاسمي,769129229,nodes
30.0883026,31.2454098,,Point,سانت تيريزا,Sainte Teresa,station,,,,,,,سانت تيريزا,316634831,nodes
30.0805647,31.245351,,Point,محطة مترو روض الفرج,Rawd El-Farag,station,,,,,,,محطة مترو روض الفرج,316634715,nodes
30.6706516,31.5902089,,Point,,,station,,,,,,,,10581940271,nodes
30.5146824,31.34161,,Point,منيا القمح,Minya Al-Qamh,station,,,,,,,منيا القمح,1086218676,nodes
30.0710937,31.2450193,,Point,حي شبرا,Massara,station,,,,,,,حي شبرا,316634158,nodes
30.964743,31.2466416,,Point,سمنود,Samannud,station,,,,,,,سمنود,6487765587,nodes
30.6678723,31.3604973,,Point,,,station,,,,,,,,10603658770,nodes
30.693351,31.315052,,Point,,,station,,,,,,,,10603575099,nodes
30.0524299,31.246899,,Point,العتبة,Attaba,station,,,,,,,العتبة,5194348149,nodes
29.6200085,31.2558359,,Point,العيط,El-Aiat,station,,,,,,,العيط,316710105,nodes
29.98203,31.2422043,,Point,دار السلام,Dar Al-Salam,station,,,,,,,دار السلام,5194246947,nodes
30.9586573,31.4222469,,Point,,,station,,,,,,,,10588534380,nodes
30.7427728,31.8768507,,Point,,,station,,,,,,,,10584158563,nodes
30.7622512,31.9420846,,Point,,,station,,,,,,,,10584190924,nodes
30.2040303,31.3628289,,Point,محطة الجبل الأصفر,Mahattat al Jabal al Asfar,station,,,,,,bing,محطة الجبل الأصفر,325776301,nodes
30.7922993,31.6278657,,Point,,,station,,,,,,,,10586781704,nodes
30.7832411,31.6356697,,Point,,,station,,,,,,,,10586781684,nodes
30.8323379,31.591333,,Point,أبو الشقوق,Abu Al-Shuquq,station,,,,,,,أبو الشقوق,1039542007,nodes
30.7864071,31.8614954,,Point,السماعنة,Al-Samaanah,station,,,,,,,السماعنة,1039566997,nodes
30.1223062,31.3439721,,Point,نادي الشمس‎,El Shams Club,station,,,,,,,,7153613351,nodes
30.8552906,31.5301049,,Point,,,station,,,,,,,,10586876547,nodes
30.7191272,31.2604983,,Point,ميت غمر,Mit Ghamr,station,,,,,,,ميت غمر,1029706810,nodes
30.7270309,31.6685518,,Point,أبو كبير,Abu Kabir,station,,,,,أبو كبير‎,,أبو كبير,1027144453,nodes
30.7413731,31.7214062,,Point,,,station,,,,,,,,10584058370,nodes
30.1011092,31.332762,,Point,هارون,Haroun,station,,,,,,,هارون,7153613352,nodes
30.8842583,31.4616742,,Point,السنبلاوين,Al-Sunbullawayn,station,,,,,,,محطة قطار مدينة السنبلاوين,1039541796,nodes
30.1310378,31.3190751,,Point,عين شمس,Ain Shams,station,,,,,,,عين شمس,5349031069,nodes
31.4196953,31.8071941,,Point,دمياط,Dumiat,station,,,,,,,دمياط,1020478764,nodes
31.1371521,32.3042389,,Point,,,station,,,,,,,,10632896823,nodes
30.9466964,32.3107283,,Point,,,station,,,,,,,,10636168484,nodes
31.0425076,32.3074707,,Point,محطة التينة,Al Tineh,station,,,,,,,محطة التينة,768596447,nodes
30.950556,32.307778,,Point,عزبة الكاب,Ezbet al Cap,station,,,,,,,عزبة الكاب,768596322,nodes
30.8666855,32.3971264,,Point,قنطرة شرقية,Qantara Sharqeya,station,,,,,,,قنطرة شرقية,1040789405,nodes
30.9348704,32.5012148,,Point,Gelbana,,station,,,,,,,محطة قطار جلبانة,1088062020,nodes
31.0033823,33.0076793,,Point,بئر العبد,Bir el Abd,station,,,,,بئر العبد,,بئر العبد,1040814157,nodes
29.8626591,31.3250068,,Point,محطة عين حلوان,Ain Helwan,station,,,,,,,محطة عين حلوان,5344953911,nodes
30.0618741,32.5521033,,Point,,,station,,,,,,,,10669009257,nodes
30.1167134,32.5632019,,Point,محطة الشلوفة,Shallufa Station,station,,,,,,,محطة الشلوفة,1520761930,nodes
30.9995916,32.8396093,,Point,,,station,,,,,,,,1871904376,nodes
30.9974532,32.6819464,,Point,,,station,,,,,,,,1871908167,nodes
30.9979359,32.556183,,Point,Baloza,,station,,,,,,,محطة قطار بالوظة,1088063381,nodes
29.9891764,32.5276688,,Point,السويس,Al-Suez,station,,,,,,,السويس,2555058697,nodes
30.5480825,31.8581665,,Point,البعالوة,Al Baaliwah,station,,,,,,,البعالوة,768592894,nodes
31.3172285,30.0617561,,Point,أبو قير,Abu Qir,station,,,,,,,أبو قير,316713741,nodes
30.5624229,31.9354762,,Point,,,station,,,,,,,,10673054066,nodes
26.475705,31.7967128,,Point,المنشاة,Al-Manshah,station,,,,,,,المنشاة,520512542,nodes
24.476656,32.9470168,,Point,كوم أمبو,Kom Ombo,station,,,,,كوم أمبو,,كوم أمبو,4621666790,nodes
24.2047501,32.8755759,,Point,محطة الخطارة,Mahattat al Khattarah,station,,,,,,,محطة الخطارة,768077221,nodes
29.9528426,31.2634668,,Point,ثكنات المعادي,Thakanat El-Maadi,station,,,,,,,ثكنات المعادي,316638736,nodes
29.9598395,31.2580736,,Point,المعادى,Maadi,station,,,,,,,المعادى,312555676,nodes
28.0967978,30.7534861,,Point,المنيا,Al-Minya,station,,,,,,,المنيا,1022358058,nodes
29.3319131,30.9723531,,Point,محطة سيلة,Sella,station,,,,,,,محطة سيلة,768556869,nodes
31.1323499,30.1303561,,Point,كفر الدوار,Kafr El-Dauwar,station,,,,,,,كفر الدوار,317997201,nodes
31.2412578,27.394073,,Point,الجراولة,Garawla,station,,,,,الجراولة,,الجراولة,318020034,nodes
31.2389915,27.1270923,,Point,,,station,,,,,,,,10543125749,nodes
31.2369319,26.2745746,,Point,,,station,,,,,,,,10543125715,nodes
31.0130595,30.8964296,,Point,,,station,,,,,,,,1038549399,nodes
31.011944,30.896944,,Point,الشين,Al Shin,station,,,,,,,الشين,768600995,nodes
31.0502025,30.8403461,,Point,قلين,Qallin,station,,,,,قلين,,,1039401955,nodes
31.0541641,31.3782753,,Point,طلخا,Talkha,station,,,,,,,طلخا,1019599326,nodes
31.0876876,30.8346819,,Point,,,station,,,,,,,,10598629255,nodes
31.0907966,30.8996254,,Point,,,station,,,,,,,,10598591200,nodes
31.0889149,30.943595,,Point,,,station,,,,,,,,10598591181,nodes
30.6623714,30.7634786,,Point,,,station,,,,,,,,10565076427,nodes
30.7147613,30.555645,,Point,,,station,,,,,,,,10564843218,nodes
30.6949318,30.7389913,,Point,,,station,,,,,,,,10565170881,nodes
30.6939421,30.6892011,,Point,,,station,,,,,,,,10564843235,nodes
29.3090635,30.8477358,,Point,الفيوم,Al-Fayoum,station,,,,,,,الفيوم,1022171353,nodes
31.0434775,31.3305108,,Point,ميت الكرما,,station,,,,,,,ميت الكرما,6487765591,nodes
31.1094593,30.9391606,,Point,كفر الشيخ,Kafr Al-Sheikh,station,,,,,,,كفر الشيخ,1024972031,nodes
31.0342905,30.4684692,,Point,دمنهور,Damanhur,station,,,,,,,دمنهور,1022251311,nodes
30.1690414,31.0257366,,Point,,,station,,,,,,,,10570217538,nodes
30.4339709,31.0371674,,Point,الباجور,Al-Bagur,station,,,,,,,الباجور,1090890989,nodes
29.3265134,31.0294186,,Point,,,station,,,,,,,,10685375901,nodes
30.2618011,31.0341408,,Point,,,station,,,,,,,,10576905431,nodes
